u_applications_impacted,dv_u_business_segments,dv_u_alert_generated_from_monitoring,u_root_cause_owner,dv_priority,dv_category,dv_contact_type,dv_short_description,dv_company,dv_close_code,dv_u_incident_cause_code,u_root_cause_breakdown,u_summary_impact_root_summary,u_alert_to_who,clean_date,year,application_category
Real-Time Lending Platform,BSG,No Known Alert,FIS,Priority 5,Application,Email,4 Clients were unable to connect to Real-Time Lending Platform application.,FIS,Solved (Permanently),Application issue,change deployment,"4 Clients were unable to connect to the Real-Time Lending Platform Banker side application after a vendor deployment was performed Sunday 1/22/23. Validations were performed and client testing was successful after Sunday's deployment. However, this morning 4 clients that did not validate had issues accessing the application. Support teams were engaged and redeployed missing parts of vendor deployment in order to mitigate the issue.  ",Unknown,2023-01-23 19:25:34,2023,Other
Profile,BSG,Other,fis vendor,Priority 4,Mainframe,Email,COP -> CD Process are in hold.,FIS,Solved (workaround),Connectivity issue,external,"ConnectDirect transmissions from Profile to vendor, Early Warning Systems (EWS), failed due to a circuit issue on the vendor's network.",Mainframe Support received an alert shortly after the first file failed.,2023-01-10 21:33:51,2023,Other
FIS CardPro Connect,BSG,No Known Alert,FIS,Priority 3,General Technical,Self-service,"CardPro Connect / Application was throwing 502 errors impacting client access   	 		",FIS,Solved (Permanently),Application issue,configuration,CardPro Connect application was inaccessible to internal and external users. Root cause is under investigation.,Unknown,2023-01-12 14:53:42,2023,Cards
IBS Banking System-MIBS,BSG,Other,FIS,Priority 4,Monitoring,Email,IBS World Market / Batch processing was impacted due to hardware failure for client TIAA,FIS,Solved (Permanently),Hardware failure,hardware,"Batch processing for single client, TIAA Bank was delayed due to a hard disk failure on the server.",Application team received a job failure error from Control-M tool.,2023-01-14 14:30:58,2023,Core Banking
EBT IVR,BSG,No Known Alert,Vendor,Priority 3,Application,Self-service, Cardholders in North and South Dakota were unable to activate cards and change PIN via EBT IVR,FIS,Solved (Permanently),Change induced,change deployment,Cardholders in North and South Dakota were unable to change/set a PIN via the EBT IVR due to a third-party change.,Unknown,2023-01-18 06:03:20,2023,Other
ACH,BSG,Other,FIS,Priority 4,Mainframe,Event monitor,BeB / Delay in ACH incoming and outgoing transmissions ,FIS,Solved (Permanently),Undetermined,performance,Client files were delayed due to an issue affecting (ACH) Automated Clearing House files and IBS (Integrated Business Services) transmissions. Root cause is under investigation.,"Kumar, JakkaSirish team.",2023-01-18 20:40:53,2023,Payments
Unspecified Applications,BSG,Other,FIS,Priority 5,Server,Alert,Mercury Core /  ESXi server not responding,FIS,Solved (Permanently),Connectivity issue,configuration,Windows team reported that  ESXi server was having a hardware error. The Network team removed the NIC from LACP to standard VLAN to resolve the issue.,Windows team,2023-06-24 08:40:54,2023,Unknown
TRIPS,BSG,No Known Alert,FIS,Priority 3,Asset & Configuration,Self-service,TRIPS  / Unable to process returned items due to expired password. ,FIS,Solved (Permanently),Application issue,certificate,Users were unable to access TRIPS Incoming Returns to process real-type account lookups and holds due to an expired Connectware password.,Unknown,2023-07-08 01:24:46,2023,Other
Unspecified Applications,BSG,Other,FIS,Priority 5,Mainframe,Self-service,BSG / Daily jobs in hung state on TEL1 - OMVS consuming more CPU,FIS,Solved (Permanently),Hardware failure,configuration,"Jobs abended, traffic switched away.   IPL server restarted and traffic switched back.  Validations complete and all three merchants and schemes validated. Jobs running as BAU.",CPU alert 1030 EST 9th July ,2023-07-10 11:00:45,2023,Unknown
"Mobile Banking, RAFT.","MS, BSG",Other,external,Priority 3,Transaction Processing,Phone,RAFT and Mobile Banking DNS Issue Observed ,FIS,Solved (Permanently),Connectivity issue,external," A subset of Raft API and Mobile Banking's MB5 traffic experienced DNS failures due to an issue within  F5 Silverline's MGMT network that impacted their mitigation appliance.

","Thousand Eyes alerts for WS.Vantiv.COM were observed
Unsure if Silverline had alerts",2023-02-03 17:09:00,2023,Digital
"Quantum, eBAM, TRAX, GetPaid","CM, BSG",No Known Alert,FIS,Priority 3,General Technical,Service portal,Some CM and BSG applications were inaccessible,Dell Inc.,Solved (Permanently),Connectivity issue,unknown,"Application support teams reported Quantum, eBAM and GetPaid applications inaccessible for some Capital Markets and Banking Solution clients.  Root cause under investigation.",Unknown,2023-02-05 16:19:57,2023,Other
Nice Incontact phone system,BSG,No Known Alert,Vendor,Priority 4,Voice Video Services,Chat,Nice Incontact phone system - Call center agents unable to transfer escalation calls,FIS,Solved (Permanently),Undetermined,unknown,Nice Incontact phone system - Call center agents unable to transfer escalation calls. This was identified to be vendor caused.,Unknown,2023-02-12 21:24:16,2023,Other
Connex,BSG,Other,FIS,Priority 3,Monitoring,Self-service,First Hawaiian Bank / TSYS transactions were failing through BCFS switch,"TSYS Acquiring Solutions, L.L.C.",Solved (Permanently),Change induced,change deployment,First Hawaiian Bank TSYS transactions processing through the BCFS switch were failing due to a CMS database change.,ProcOps gets these alerts from Alert Center.,2023-02-20 19:55:54,2023,Other
NICE Incontact,BSG,No Known Alert,tbd,Priority 4,Voice Video Services,Self-service,NICE Incontact / Intermittent Call Drops for 3 Banking Solutions Call Centers,FIS,Solved (Permanently),Undetermined,unknown,Nice Incontact telephony services were intermittently crashing during calls with clients. The root cause is being investigated.,Unknown,2023-01-30 18:10:07,2023,Other
Code Connect ,BSG,No Known Alert,FIS,Priority 5,Network,Self-service,Intermittent Connection Issue with FIS,FIS,No Action Taken,Undetermined,unknown,East West Bank is experiencing intermittent timeouts with a status code error from FIS on profile end points. Root cause is under investigation. ,Unknown,2023-02-22 21:15:43,2023,Integration
" FIS Mobile Banking Services-FMMB, FIS Xpress Deposit-FXD, Real Time Data Exchange (BASE), Commercial Capture Xpress-CCX, Valutec-VTEC, Mercury Core System-Merc, Internet Banking - FIS Online Banking-OLB","BSG, MS",Other,FIS,Priority 3,Storage,Other,Storage issue in Little Rock DC,FIS,Solved (workaround),Coding/script,code,A subset of hosted BSG and MS applications in Little Rock DC experienced availability issues due to DELL storage issue. Root cause is still being investigated.,Alert directly from the controller; David Garner got an email ,2023-03-03 03:00:33,2023,Digital
EFT Web Admin (Intercept) tool,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,EFT Web Admin/ Intercept - Functionality not working.,FIS,Solved (Permanently),Application issue,code,Some functionalities for the EFT Web Admin (Intercept) tool were impacted due to a corrupted STRATUS queue.,Unknown,2023-03-07 07:48:39,2023,Cards
"Integrated Payment - Express and MercuryPay,  Valutec Direct - Valutec IP Transaction Processing, Valutec Dial, Valutec Web Services, ToastAPI","MS, BSG",Other,FIS,Priority 3,Monitoring,Self-service,Mercury and Express/ Valutec-Direct dependent transactions were failing.,FIS,Solved (workaround),Process issue,performance,Integrated Payment platforms had transactional impact due to a long running SQL query.,Valutec was getting a Tryambak alert which cleared in 3-minutes however the issue persisted.,2023-03-10 01:41:01,2023,Other
Unspecified Applications,BSG,Other,external,Priority 5,Network,Email,1st State Bank Connectivity Issues | Facing difficulty with tunnel connection to FIS and Unmanaged VPN Tunnel is Hard Down due to ISP Address Change. ,1st State Bank,Solved (workaround),Connectivity issue,external,1st State Bank made changes to their IPs which caused Base2000 and IPSwitch to go down. We changed the IP address to match their connections @9:55EST via CH23001287991.  Resolved @9:55EST,Global NOC Client via email from 1st State Bank,2023-03-16 14:36:29,2023,Unknown
Horizon XE,BSG,Other,Vendor,Priority 4,Application,Alert,Horizon XE Banks Down,FIS,Solved (Permanently),Connectivity issue,configuration,Horizon XE application was unavailable for five clients due to additional impact from Zero Day Vulnerability maintenance.,Alerts were received by application support and the client also reported the issue. ,2023-07-20 15:11:36,2023,Core Banking
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,Unable to use Device Contacts,FIS,Solved (Permanently),Data issue,configuration,Unable to use Device Contacts after db failover.,Unknown,2023-07-23 18:05:04,2023,Unknown
Mercury on Demand,BSG,No Known Alert,FIS,Priority 4,General Technical,Self-service,Mercury on Demand / 2 Clients Reported Connectivity Issues,FIS,Solved (Permanently),Connectivity issue,operational cadence,2 Mercury on Demand Clients were unable to connect to FIS.  This was due to hung IP Sec Tunnels for each client.,Unknown,2023-07-25 18:41:48,2023,Other
Base2000,BSG,No Known Alert,FIS,Priority 4,Batch & Data Transmission,Other,Base2000 / Duplicate Payment Posting from 11/2022 on 03/13/2023 for Multiple FIs,FIS,Solved (workaround),Operations issue,operational cadence,Base2000 clients experienced duplicated payments due to a payment file being reprocessed. ,Unknown,2023-03-15 02:49:13,2023,Core Banking
"Decision Solutions Chex Advisor - No transactions observed between 21:15 - 21:29 CT
D1 Flex - Experienced high response time
Payments One - CC exceptions during the same timeframe.
BeB     - Experienced high response time
Certegy Check - OLTP traffic was routed back to JTC. Issue was resolved.
Prepaid - Experienced few reject messages on the AUTH side same time frame.",BSG,Other,FIS,Priority 4,Application,Self-service,High response time for some applications,FIS,No Action Taken,Undetermined,unknown,Some clients experienced transaction failures when support teams received an alert for some unresponsive BSG applications. Root cause is under investigation.,Application team and NOC,2023-03-24 08:01:35,2023,Digital
"OLB (Online Banking), Flex",BSG,Other,FIS,Priority 3,Application,Self-service,OLB/D1 Flex - RSA Issue -Elevated Response Time,FIS,Solved (Permanently),Undetermined,unknown,An incident caused elevated response times when users attempted to access OLB/Flex  when connecting through RSA. Root cause is under investigation.,"Splunk, Database team, ",2023-03-30 16:57:33,2023,Digital
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,Network /  Unmanaged VPN - Wings Financial Credit Union (EID: 4988) latency issue in Little Rock.,Wings Financial Credit Union,Solved (workaround),Connectivity issue,certificate,Client experienced intermittent latency to their DR environment due to the ALG policy being incorrect.  Root cause is being investigated with Juniper (Vendor).  ,Unknown,2023-04-12 17:31:51,2023,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Security,Other,Security Alert - Centennial Bank Ransom Ware issue,FIS,Solved (Permanently),Security Incident,unknown,Single client Centennial Bank experienced ransomware issues.,Unknown,2023-04-08 02:39:13,2023,Unknown
"Horizon, Bankway, BancPac",BSG,No Known Alert,external,Priority 2,Network,Self-service,Digital Insight / NCR is unable to communicate to FIS in Little Rock,FIS,Solved (workaround),Connectivity issue,vendor circuit,Digital Insights (NCR) was unable to connect to FIS and reach several cores due to bad weather related connection failures.,Unknown,2023-04-01 21:55:47,2023,Core Banking
Unspecified Applications,BSG,SCAPM,Vendor,Priority 5,Server,Self-service,Unexpected Servers Reboot (No Client Impact),FIS,Solved by Client/Vendor,Hardware failure,unknown,Chassis was inaccessible and 7 ESXi hosts disconnected which caused 72 VMs to reboot unexpectedly. Root cause is under investigation.,Alert went to Windows Team.,2023-04-10 09:51:54,2023,Unknown
EFT Payments One,BSG,Other,FIS,Priority 3,Application,Email,Payments One EFT / In stand in for some clients between EFT and Horizon,FIS,Solved (workaround),Undetermined,unknown,EFT was in stand-in mode for a subset of Payments One clients. Root cause is still being investigated.,"ProcLink Monitoring Operations was alerted from Alert Center
",2023-04-14 18:32:53,2023,Cards
CardPro,BSG,No Known Alert,FIS,Priority 4,Batch & Data Transmission,Self-service,CardPro Batch Processing Error for cards on 16-Mar-2023,FIS,Solved (workaround),Batch error,unknown,"Approximately 1,900 card orders and generations from 16-Mar-2023 did not process on CardPro.  The root cause is still under investigation.",Unknown,2023-04-20 17:07:13,2023,Cards
